POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,ELMATEXP,ELACCEXP,ELMATS,PERIOD_POP,PERIOD_EST,PERIOD_PSM,PERIOD_PEM,STABR,PUB_FIPS,YR,OBEREG,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,IMP24,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32,IMP33,IMP34,IMP35
611300,85,18,2,65.9,106.77,180.65,287.42,18775445,867513,394050,1028296,21065304,9784561,3456603,13241164,2450393,5005219,20696776,136896,2034104,72539,56252,6747,131902,3040426,473236,3747039,19436,33295,1349828,133264,219803,753490,1211,611300,611300,07/96,06/97,AK,02,98,08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
4055921,195,79,18,225.35,573.01,842.73,1415.74,44639152,4726287,621202,5537440,55524081,28130843,6053289,34184132,8728959,11454764,54367855,11852483,8161476,200963,147809,17542,540305,13351542,2344347,15402613,24636,40813,5136387,468132,405732,856195,4044,3898913,4137511,10/96,09/97,AL,01,98,05, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
2274511,39,164,8,90.14,204.75,501.45,706.2,23975797,3344716,463644,4075461,31859618,13012188,2633548,15645736,4980854,6441039,27067629,3070734,4989539,67453,47200,10346,373834,6029706,1001583,9791055,19757,22376,2840027,298717,388895,1301532,11983,2264510,2274511,01/97,12/97,AR,05,98,05, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
4535018,86,78,13,355,462.9,1125,1587.9,83495361,412301,1707588,2517727,88132977,41169227,10008400,51177627,12855272,25482941,89515840,9432688,7795909,203038,153953,16819,360762,17865706,3926252,27875506,82740,72644,9294404,557069,1238478,5204896,28505,4433463,4595379,07/96,06/97,AZ,04,98,06, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
32590665,162,877,56,2861.26,3082.33,7000.7,10083.03,569997455,26256551,10712172,47934936,654901114,328374410,88584345,416958755,72108711,130042994,619110460,21045423,63436944,2129938,1292258,146023,1988500,125295455,36540987,159847804,860611,630721,61026483,4376837,3398683,12579439,53369,32590665,32617665,07/96,06/97,CA,06,98,08, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
3904158,98,151,14,358.26,611.65,1281.69,1893.34,108826489,2597248,750908,8758382,120933027,54283137,11880108,66163245,18552178,20227045,104942468,23996276,10112223,299251,180658,19407,529302,19666830,5418608,33958213,110877,128292,11680023,762703,675837,3067725,238,3861704,3892644,01/97,12/97,CO,08,98,07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0
4019106,195,50,7,670.77,826.39,1432.72,2259.11,98687015,1689487,149201,12090098,112615801,68057781,7775386,75833167,15551818,19069152,110454137,10391519,14351583,408705,298521,36455,549849,20250708,4158869,28175487,222095,226539,10504547,798673,1342957,4474053,7910,3274238,3274238,07/96,06/97,CT,09,98,01, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
543000,1,26,1,114,144,236,380,20868000,0,678880,268645,21815525,13689949,2061852,15751801,2745622,3326862,21824285,100466,2863296,322214,7667,4370,55614,1754873,1228838,1476935,4889,258,482437,69820,220177,10800,43,543000,543000,10/96,09/97,DC,11,98,02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
666168,28,2,2,35.93,75.76,132.33,208.09,9066491,1624465,401232,1317556,12409744,5590342,1460451,7050793,1852805,2105759,11009357,2593244,1448511,43183,25282,3588,73340,2429956,433249,3531485,20276,18126,1289754,117470,98924,330378,212,666168,666168,07/96,06/97,DE,10,98,02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0
14539085,121,317,30,1360.49,1650.73,3742.89,5393.62,238275948,27566259,3086772,18708649,287637628,121232707,40237563,161470270,42273723,66743709,270487702,22685540,26259290,909555,653232,85243,1017384,51061997,25050543,72666108,154881,163940,15990505,2101058,3981359,2209774,48659,14300236,14712922,10/96,09/97,FL,12,98,05, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
7408856,54,314,44,628.85,658.04,1939.05,2597.09,78169012,23467282,1242395,8158185,111036874,57227126,15965424,73192550,14599481,20224237,108016268,19279203,13788438,433002,227286,28840,847176,20829146,5275667,34148211,14148,34839,11536490,1005281,1037111,1698138,18443,7408856,7408856,07/96,06/97,GA,13,98,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1
